start_year,start_month,start_day,start_hour,stop_year,stop_month,stop_day,stop_hour,PM_abs_ug,Vol_m3,PM_conc_ugm3,SSR_BC,IC_Cl,IC_NO3,IC_PO4,IC_SO4,IC_Na,IC_NH4,IC_K,IC_Mg,ICP_Al,ICP_Fe,ICP_Ti,ICP_TEO,ICP_Zn
2014,8,11,9,2014,8,12,8,111.87,5.3,21.11,2.74,0,0.148,0,2.382,0.116,0.674,0.291,0.015,26,166.9,1.9,100.6,38.8
2014,8,12,9,2014,8,13,8,138.67,5.3,26.17,0.86,0,0.239,0.882,3.069,0.249,0.972,0.432,0.018,37.5,127.8,2.9,178.7,41.5
2014,8,15,9,2014,8,16,8,131.63,5.76,22.85,2.25,0,0.273,0,5.003,0.322,1.268,0.336,0.05,29.4,,2.1,87,11.4
2014,8,16,9,2014,8,17,8,123.3,5.18,23.78,2.91,0,0.298,0,2.367,0.231,0.563,0.349,0.093,68.3,24.2,2.7,57.7,34.3
2014,8,17,9,2014,8,18,8,171.73,5.4,31.8,2.93,0,0.422,0.23,6.195,0.301,1.717,0.379,0.038,64.2,402.6,3,119.2,42.2
2014,8,22,9,2014,8,23,8,168.23,5.36,31.36,3.66,0,0.227,0,4.398,0.21,1.813,0.804,0.025,39.4,81.3,3.5,16.2,21.1
2014,8,23,9,2014,8,24,8,171.63,5.76,29.8,2.87,0,0.101,0,4.668,0.154,2.261,0.651,0.024,33.3,65.3,2.8,82.7,26.6
2014,8,24,9,2014,8,25,8,175.87,5.36,32.79,3.44,0,0.143,0,4.951,0.227,2.461,0.706,0.03,47.3,89.3,3.6,63.1,59.2
2014,11,8,9,2014,11,17,8,159.13,5.33,29.87,3.47,0,0.223,0.284,5.569,0.077,0.393,0.093,0.016,33.5,74.9,2,67.9,25.2
2014,11,17,9,2014,11,26,8,124.27,4.43,28.06,4.14,0,0.087,0,4.406,0.043,0.359,0.065,0.01,25.3,63.8,1.5,108,19.7
2014,11,26,9,2014,12,5,8,154.43,5.4,28.6,3.79,0,0.164,0.183,4.32,0.066,0.328,0.084,0.015,45.2,450.2,1.9,114.3,30.6
2014,12,5,9,2014,12,14,8,106.6,5.51,19.35,2.78,0,0.138,0.081,2.069,0.045,0.152,0.059,0.012,33.5,68.3,1.7,96.9,24.4
2014,12,14,9,2014,12,23,8,113.33,5.47,20.71,3.2,0,0.285,0.076,2.756,0.056,0.228,0.067,0.014,44.9,81.4,2.5,86.8,29.8
2014,12,23,9,2015,1,2,8,146.9,5.89,24.95,3.41,0.168,0.238,0.113,2.59,0.06,0.087,0.327,0.125,74.9,59.7,2,108,21.5
2015,1,2,9,2015,1,11,8,69.43,5.65,12.28,2.13,0.071,0.163,0.117,1.016,0.07,0.112,0.048,0.016,29,41.9,1.3,18.9,5.9
2015,1,12,9,2015,1,21,8,107.77,5.4,19.96,1.05,0.043,0.953,0.135,3.476,0.228,0.948,0.356,0.023,98.7,64.5,2.1,137.3,53.7
2015,1,21,9,2015,1,30,8,129.53,5.47,23.67,1.16,0,0.299,0.188,6.012,0.162,2.337,0.433,0.021,32.9,36,1.4,111.5,10.1
2015,1,30,9,2015,2,8,8,113.5,5.62,20.21,0.84,0.026,1.622,0.13,4.477,0.231,1.246,0.359,0.015,16,17.5,0.4,70.8,16.5
2015,2,8,9,2015,2,17,8,155.6,5.36,29.01,1.24,0.038,1.038,0,4.598,0.187,1.533,0.48,0.024,60,68.9,1.6,496.5,286.1
2015,2,17,9,2015,2,26,8,170.07,5.33,31.92,3.55,0,0.33,0,4.604,0.126,1.761,0.413,0.019,18.2,33.3,0.7,194.9,123.5
